track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,played_at
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:57:56.823Z
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:54:16.485Z
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:45:07.009Z
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:39:21.093Z
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike,track,spotify:track:4mY6K0hRQlpOs3hyTNOcKe,https://api.spotify.com/v1/tracks/4mY6K0hRQlpOs3hyTNOcKe,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,164282,,False,4,2026-03-16T13:48:26.465Z
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike,track,spotify:track:4mY6K0hRQlpOs3hyTNOcKe,https://api.spotify.com/v1/tracks/4mY6K0hRQlpOs3hyTNOcKe,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,164282,,False,4,2026-03-13T16:58:42.484Z
09xpQPfKWdio1wx6v17dGa,SAFARI,"Tyler, The Creator",track,spotify:track:09xpQPfKWdio1wx6v17dGa,https://api.spotify.com/v1/tracks/09xpQPfKWdio1wx6v17dGa,https://open.spotify.com/track/09xpQPfKWdio1wx6v17dGa,177742,,True,16,2026-03-12T23:33:44.826Z
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,track,spotify:track:2aPTvyE09vUCRwVvj0I8WK,https://api.spotify.com/v1/tracks/2aPTvyE09vUCRwVvj0I8WK,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,158205,,True,1,2026-03-12T23:29:23.692Z
6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,Jordan Ward,track,spotify:track:6nXiaXqSZAJuOG6q66mZV1,https://api.spotify.com/v1/tracks/6nXiaXqSZAJuOG6q66mZV1,https://open.spotify.com/track/6nXiaXqSZAJuOG6q66mZV1,141520,,True,1,2026-03-12T23:25:27.314Z
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:20:18.414Z
5fX8WljoAFrmFrFqahjz4Y,Dancing In The Courthouse,Dominic Fike,track,spotify:track:5fX8WljoAFrmFrFqahjz4Y,https://api.spotify.com/v1/tracks/5fX8WljoAFrmFrFqahjz4Y,https://open.spotify.com/track/5fX8WljoAFrmFrFqahjz4Y,157563,,False,6,2026-03-12T23:15:09.735Z
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:12:31.435Z
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:11:46.199Z
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,track,spotify:track:29iva9idM6rFCPUlu7Rhxl,https://api.spotify.com/v1/tracks/29iva9idM6rFCPUlu7Rhxl,https://open.spotify.com/track/29iva9idM6rFCPUlu7Rhxl,163866,,False,3,2026-03-12T21:09:07.386Z
0cJTBlSiodwtdA5vdIbHhB,Pretend Lovers,Montell Fish,track,spotify:track:0cJTBlSiodwtdA5vdIbHhB,https://api.spotify.com/v1/tracks/0cJTBlSiodwtdA5vdIbHhB,https://open.spotify.com/track/0cJTBlSiodwtdA5vdIbHhB,193671,,False,4,2026-03-12T21:06:21.141Z
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons,track,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,215319,,False,1,2026-03-12T20:12:35.320Z
3lFVdFLQeBXLxqKxqwqIfS,Darlin',Jean Dawson,track,spotify:track:3lFVdFLQeBXLxqKxqwqIfS,https://api.spotify.com/v1/tracks/3lFVdFLQeBXLxqKxqwqIfS,https://open.spotify.com/track/3lFVdFLQeBXLxqKxqwqIfS,208626,,False,1,2026-03-12T17:04:03.557Z
1ymikhI2taCMNkmn9GO9CZ,a rose blooms in chaos,Davishmar,track,spotify:track:1ymikhI2taCMNkmn9GO9CZ,https://api.spotify.com/v1/tracks/1ymikhI2taCMNkmn9GO9CZ,https://open.spotify.com/track/1ymikhI2taCMNkmn9GO9CZ,116831,,False,1,2026-03-12T17:00:34.331Z
3uyODN4WPyhs8TJRuMfhwF,In The Morning (feat. Thundercat & Syd),"Mac Miller, Syd, Thundercat",track,spotify:track:3uyODN4WPyhs8TJRuMfhwF,https://api.spotify.com/v1/tracks/3uyODN4WPyhs8TJRuMfhwF,https://open.spotify.com/track/3uyODN4WPyhs8TJRuMfhwF,265066,,True,14,2026-03-12T16:58:37.310Z
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,"Kendrick Lamar, George Clinton, Thundercat",track,spotify:track:7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/tracks/7Ks4VCY1wFebnOdJrM13t6,https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6,287360,,True,1,2026-03-12T16:54:11.078Z
4b82tXj35SycILuILcgBQ6,Hoe Cakes,MF DOOM,track,spotify:track:4b82tXj35SycILuILcgBQ6,https://api.spotify.com/v1/tracks/4b82tXj35SycILuILcgBQ6,https://open.spotify.com/track/4b82tXj35SycILuILcgBQ6,234146,,True,2,2026-03-12T16:49:52.627Z
5oHefuJW6udg0pphl5KXwN,Poo-Putt Platter,MF DOOM,track,spotify:track:5oHefuJW6udg0pphl5KXwN,https://api.spotify.com/v1/tracks/5oHefuJW6udg0pphl5KXwN,https://open.spotify.com/track/5oHefuJW6udg0pphl5KXwN,73613,,True,6,2026-03-12T16:45:28.231Z
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN,track,spotify:track:24VNenhLzKDWDlQ5Qaznav,https://api.spotify.com/v1/tracks/24VNenhLzKDWDlQ5Qaznav,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,212213,,False,1,2026-03-12T16:44:14.680Z
6FcDxtnGfsYHOcGkXN2OIG,Add Up My Love,Clairo,track,spotify:track:6FcDxtnGfsYHOcGkXN2OIG,https://api.spotify.com/v1/tracks/6FcDxtnGfsYHOcGkXN2OIG,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG,205263,,False,8,2026-03-12T16:40:40.867Z
2pNYM3OcS7WdCW13TuhMeK,Yoshinoya,Childish Gambino,track,spotify:track:2pNYM3OcS7WdCW13TuhMeK,https://api.spotify.com/v1/tracks/2pNYM3OcS7WdCW13TuhMeK,https://open.spotify.com/track/2pNYM3OcS7WdCW13TuhMeK,202409,,True,9,2026-03-12T16:37:14.926Z
0yxOhm9EgkEDjAbXLyoObO,RUFF RIDE,"Samant, Lou Val",track,spotify:track:0yxOhm9EgkEDjAbXLyoObO,https://api.spotify.com/v1/tracks/0yxOhm9EgkEDjAbXLyoObO,https://open.spotify.com/track/0yxOhm9EgkEDjAbXLyoObO,156839,,False,1,2026-03-12T16:33:52.074Z
1sDW4P9FwNREiBNtEduDDQ,Winterfalls,Terrell Morris,track,spotify:track:1sDW4P9FwNREiBNtEduDDQ,https://api.spotify.com/v1/tracks/1sDW4P9FwNREiBNtEduDDQ,https://open.spotify.com/track/1sDW4P9FwNREiBNtEduDDQ,171365,,True,1,2026-03-12T16:31:13.491Z
7tzgX2LHRfWmRlsbSN4pQR,Royale With Cheese,"John Travolta, Samuel L. Jackson",track,spotify:track:7tzgX2LHRfWmRlsbSN4pQR,https://api.spotify.com/v1/tracks/7tzgX2LHRfWmRlsbSN4pQR,https://open.spotify.com/track/7tzgX2LHRfWmRlsbSN4pQR,103466,,True,3,2026-03-12T16:28:21.167Z
4JfpJrrGNXRj2yXm1fYV23,Lithonia,Childish Gambino,track,spotify:track:4JfpJrrGNXRj2yXm1fYV23,https://api.spotify.com/v1/tracks/4JfpJrrGNXRj2yXm1fYV23,https://open.spotify.com/track/4JfpJrrGNXRj2yXm1fYV23,179320,,True,1,2026-03-12T16:26:37.311Z
1xKGnsdKOh8jx8pzSZAgXE,5 Dollar Pony Rides,Mac Miller,track,spotify:track:1xKGnsdKOh8jx8pzSZAgXE,https://api.spotify.com/v1/tracks/1xKGnsdKOh8jx8pzSZAgXE,https://open.spotify.com/track/1xKGnsdKOh8jx8pzSZAgXE,222119,,False,4,2026-03-12T16:23:36.798Z
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",track,spotify:track:5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,190072,,True,2,2026-03-12T16:19:54.456Z
7zTTDkkLkJ2iHAqq1daDCr,OUTTA MY MIND,Monsune,track,spotify:track:7zTTDkkLkJ2iHAqq1daDCr,https://api.spotify.com/v1/tracks/7zTTDkkLkJ2iHAqq1daDCr,https://open.spotify.com/track/7zTTDkkLkJ2iHAqq1daDCr,226005,,False,1,2026-03-12T16:16:43.460Z
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino,track,spotify:track:5uRTAG2Fs6rQt41HwaIx53,https://api.spotify.com/v1/tracks/5uRTAG2Fs6rQt41HwaIx53,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,160988,,False,15,2026-03-12T16:12:56.608Z
7BPadP3q9qwMkho3IMPU99,BURN,"¥$, Kanye West, Ty Dolla $ign",track,spotify:track:7BPadP3q9qwMkho3IMPU99,https://api.spotify.com/v1/tracks/7BPadP3q9qwMkho3IMPU99,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,111477,,True,9,2026-03-12T16:10:14.754Z
0NjW4SKY3gbfl2orl1p8hr,IFHY (feat. Pharrell),"Tyler, The Creator, Pharrell Williams",track,spotify:track:0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/tracks/0NjW4SKY3gbfl2orl1p8hr,https://open.spotify.com/track/0NjW4SKY3gbfl2orl1p8hr,319279,,True,11,2026-03-12T16:08:22.980Z
6c7l5gpEyCNGr86jsWneGy,Awkward,"Tyler, The Creator",track,spotify:track:6c7l5gpEyCNGr86jsWneGy,https://api.spotify.com/v1/tracks/6c7l5gpEyCNGr86jsWneGy,https://open.spotify.com/track/6c7l5gpEyCNGr86jsWneGy,227473,,True,4,2026-03-12T16:03:03.369Z
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd,track,spotify:track:3SAga35lAPYdjj3qyfEsCF,https://api.spotify.com/v1/tracks/3SAga35lAPYdjj3qyfEsCF,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF,157974,,False,1,2026-03-12T15:59:14.418Z
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells",track,spotify:track:0EWG5cpMUT0Jp0Pye9S0Ne,https://api.spotify.com/v1/tracks/0EWG5cpMUT0Jp0Pye9S0Ne,https://open.spotify.com/track/0EWG5cpMUT0Jp0Pye9S0Ne,180000,,False,1,2026-03-12T15:56:35.688Z
57ENogEkvFsU7Wmt3lvQMG,Two Six,J. Cole,track,spotify:track:57ENogEkvFsU7Wmt3lvQMG,https://api.spotify.com/v1/tracks/57ENogEkvFsU7Wmt3lvQMG,https://open.spotify.com/track/57ENogEkvFsU7Wmt3lvQMG,196080,,True,2,2026-03-12T15:24:49.656Z
3SH1vOTwgg5Ma1NhHaXvrA,Echo,The Marías,track,spotify:track:3SH1vOTwgg5Ma1NhHaXvrA,https://api.spotify.com/v1/tracks/3SH1vOTwgg5Ma1NhHaXvrA,https://open.spotify.com/track/3SH1vOTwgg5Ma1NhHaXvrA,209426,,False,3,2026-03-12T15:21:12.433Z
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,track,spotify:track:29iva9idM6rFCPUlu7Rhxl,https://api.spotify.com/v1/tracks/29iva9idM6rFCPUlu7Rhxl,https://open.spotify.com/track/29iva9idM6rFCPUlu7Rhxl,163866,,False,3,2026-03-12T15:13:51.132Z
4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon,track,spotify:track:4AZk9awBXJRVaLS7gOsaMO,https://api.spotify.com/v1/tracks/4AZk9awBXJRVaLS7gOsaMO,https://open.spotify.com/track/4AZk9awBXJRVaLS7gOsaMO,151565,,False,9,2026-03-12T15:10:58.866Z
3IJCSQoLF4YzPAKaxq2JLb,Yoga,"Janelle Monáe, Jidenna",track,spotify:track:3IJCSQoLF4YzPAKaxq2JLb,https://api.spotify.com/v1/tracks/3IJCSQoLF4YzPAKaxq2JLb,https://open.spotify.com/track/3IJCSQoLF4YzPAKaxq2JLb,215532,,False,1,2026-03-12T15:07:32.944Z
5J75NvHDMTbJtLqym6CXuI,Do 2 Me (feat. Anderson .Paak & SiR),"KAYTRANADA, Anderson .Paak, SiR",track,spotify:track:5J75NvHDMTbJtLqym6CXuI,https://api.spotify.com/v1/tracks/5J75NvHDMTbJtLqym6CXuI,https://open.spotify.com/track/5J75NvHDMTbJtLqym6CXuI,230823,,True,15,2026-03-11T23:21:46.295Z
1e46ZC7vtQcyGEOFbyv1df,Patagonia,Patawawa,track,spotify:track:1e46ZC7vtQcyGEOFbyv1df,https://api.spotify.com/v1/tracks/1e46ZC7vtQcyGEOFbyv1df,https://open.spotify.com/track/1e46ZC7vtQcyGEOFbyv1df,205210,,False,1,2026-03-11T00:22:03.770Z
10wbN21d8FXT0cFIaCw1yV,Enchanté,Tim Atlas,track,spotify:track:10wbN21d8FXT0cFIaCw1yV,https://api.spotify.com/v1/tracks/10wbN21d8FXT0cFIaCw1yV,https://open.spotify.com/track/10wbN21d8FXT0cFIaCw1yV,162600,,False,1,2026-03-10T14:45:49.873Z
2LSmH4vxyRhkJ2pPqcmkXw,NOBLE,F3miii,track,spotify:track:2LSmH4vxyRhkJ2pPqcmkXw,https://api.spotify.com/v1/tracks/2LSmH4vxyRhkJ2pPqcmkXw,https://open.spotify.com/track/2LSmH4vxyRhkJ2pPqcmkXw,185806,,False,1,2026-03-10T14:43:07.281Z
1h3ODYcDJly0H53W2Ai42Q,Electric U,Kid Bloom,track,spotify:track:1h3ODYcDJly0H53W2Ai42Q,https://api.spotify.com/v1/tracks/1h3ODYcDJly0H53W2Ai42Q,https://open.spotify.com/track/1h3ODYcDJly0H53W2Ai42Q,171696,,False,1,2026-03-10T14:39:59.109Z
76jsGLoaUN5kgYglcACpvC,Geezer,"Kevin Abstract, Dominic Fike, Geezer",track,spotify:track:76jsGLoaUN5kgYglcACpvC,https://api.spotify.com/v1/tracks/76jsGLoaUN5kgYglcACpvC,https://open.spotify.com/track/76jsGLoaUN5kgYglcACpvC,169776,,True,10,2026-03-10T14:37:05.136Z
6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,J. Cole,track,spotify:track:6tZ3b7ik1QDXFAZlXib0YZ,https://api.spotify.com/v1/tracks/6tZ3b7ik1QDXFAZlXib0YZ,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ,200309,,True,7,2026-03-10T14:34:14.767Z
